establishment_id,establishment_type,inspection_frequency,severity
ID_16,Food Take Out,2,C - Crucial
ID_16,Restaurant,5,S - Significant
ID_17,Restaurant,4,S - Significant
ID_17,Restaurant,1,S - Significant
ID_17,Restaurant,3,M - Minor
ID_17,Food Take Out,5,M - Minor
ID_17,Food Take Out,1,S - Significant
ID_18,Restaurant,3,S - Significant
ID_18,Food Take Out,3,C - Crucial
ID_18,Restaurant,4,M - Minor
ID_18,Food Take Out,5,S - Significant
ID_18,Food Take Out,1,S - Significant
ID_19,Restaurant,4,S - Significant
ID_19,Restaurant,4,S - Significant
ID_19,Food Take Out,5,S - Significant
ID_19,Food Take Out,5,C - Crucial
ID_19,Food Take Out,2,M - Minor
ID_20,Restaurant,3,S - Significant
ID_20,Restaurant,4,S - Significant
ID_20,Food Take Out,2,C - Crucial
ID_20,Food Take Out,1,S - Significant
ID_20,Restaurant,2,S - Significant
ID_21,Food Take Out,2,M - Minor
ID_21,Restaurant,4,M - Minor
ID_21,Food Take Out,3,M - Minor
ID_21,Restaurant,1,C - Crucial
ID_21,Restaurant,1,M - Minor
ID_22,Food Take Out,1,C - Crucial
ID_22,Food Take Out,4,M - Minor
ID_22,Restaurant,4,C - Crucial
ID_22,Restaurant,5,C - Crucial
ID_22,Food Take Out,4,M - Minor
ID_23,Restaurant,1,C - Crucial
ID_23,Food Take Out,4,C - Crucial
ID_23,Food Take Out,1,S - Significant
ID_23,Restaurant,2,S - Significant
ID_23,Restaurant,5,S - Significant
ID_24,Restaurant,1,C - Crucial
ID_24,Restaurant,4,S - Significant
ID_24,Restaurant,1,S - Significant
ID_24,Food Take Out,1,C - Crucial
ID_24,Food Take Out,3,C - Crucial
ID_25,Restaurant,3,M - Minor
ID_25,Food Take Out,5,S - Significant
ID_25,Food Take Out,5,M - Minor
ID_25,Restaurant,1,M - Minor
ID_25,Food Take Out,2,M - Minor
ID_26,Restaurant,5,C - Crucial
ID_26,Restaurant,5,C - Crucial
ID_26,Food Take Out,5,C - Crucial
ID_26,Restaurant,3,S - Significant
ID_26,Restaurant,3,M - Minor
ID_27,Restaurant,4,C - Crucial
ID_27,Restaurant,3,M - Minor
ID_27,Food Take Out,5,M - Minor
ID_27,Food Take Out,2,M - Minor
ID_27,Food Take Out,5,C - Crucial
ID_28,Restaurant,1,S - Significant
ID_28,Restaurant,1,M - Minor
ID_28,Food Take Out,5,M - Minor
ID_28,Restaurant,2,S - Significant
ID_28,Restaurant,3,C - Crucial
ID_29,Food Take Out,3,M - Minor
ID_29,Restaurant,4,S - Significant
ID_29,Restaurant,3,S - Significant
ID_29,Restaurant,1,M - Minor
ID_29,Restaurant,4,C - Crucial
ID_30,Food Take Out,5,M - Minor
ID_30,Food Take Out,1,M - Minor
ID_30,Restaurant,5,S - Significant
ID_30,Restaurant,1,C - Crucial
ID_30,Food Take Out,2,C - Crucial
ID_31,Food Take Out,3,S - Significant
ID_31,Food Take Out,4,C - Crucial
ID_31,Restaurant,5,M - Minor
ID_31,Restaurant,1,C - Crucial
ID_31,Restaurant,5,M - Minor
ID_32,Food Take Out,1,M - Minor
ID_32,Food Take Out,2,S - Significant
ID_32,Restaurant,3,S - Significant
ID_32,Food Take Out,5,C - Crucial
ID_32,Restaurant,3,C - Crucial
ID_33,Food Take Out,2,C - Crucial
ID_33,Food Take Out,1,M - Minor
ID_33,Restaurant,4,M - Minor
ID_33,Restaurant,4,M - Minor
ID_33,Restaurant,5,C - Crucial
ID_34,Food Take Out,2,M - Minor
ID_34,Restaurant,3,C - Crucial
ID_34,Food Take Out,4,M - Minor
ID_34,Restaurant,1,M - Minor
ID_34,Restaurant,4,M - Minor
ID_35,Restaurant,3,M - Minor
ID_35,Restaurant,3,C - Crucial
ID_35,Restaurant,2,S - Significant
ID_35,Food Take Out,1,M - Minor
ID_35,Food Take Out,4,S - Significant
ID_36,Restaurant,2,S - Significant
ID_36,Restaurant,5,S - Significant
ID_36,Food Take Out,1,M - Minor
ID_36,Food Take Out,1,S - Significant
ID_36,Food Take Out,1,C - Crucial
ID_37,Restaurant,3,M - Minor
ID_37,Restaurant,4,S - Significant
ID_37,Restaurant,2,S - Significant
ID_37,Food Take Out,1,M - Minor
ID_37,Restaurant,5,S - Significant
ID_38,Food Take Out,1,C - Crucial
ID_38,Food Take Out,4,S - Significant
ID_38,Restaurant,5,S - Significant
ID_38,Restaurant,3,C - Crucial
ID_38,Restaurant,4,C - Crucial
ID_39,Food Take Out,4,M - Minor
ID_39,Restaurant,5,S - Significant
ID_39,Food Take Out,4,S - Significant
ID_39,Restaurant,3,M - Minor
ID_39,Restaurant,3,M - Minor
ID_40,Restaurant,1,M - Minor
ID_40,Food Take Out,5,C - Crucial
ID_40,Food Take Out,5,C - Crucial
ID_40,Food Take Out,1,S - Significant
ID_40,Food Take Out,3,S - Significant
ID_41,Food Take Out,1,S - Significant
ID_41,Food Take Out,4,C - Crucial
ID_41,Restaurant,1,M - Minor
ID_41,Restaurant,2,C - Crucial
ID_41,Food Take Out,2,C - Crucial
ID_42,Restaurant,3,S - Significant
ID_42,Food Take Out,3,M - Minor
ID_42,Food Take Out,5,M - Minor
ID_42,Restaurant,4,S - Significant
ID_42,Restaurant,5,C - Crucial
ID_43,Restaurant,2,S - Significant
ID_43,Restaurant,3,M - Minor
ID_43,Food Take Out,1,S - Significant
ID_43,Food Take Out,3,C - Crucial
ID_43,Restaurant,1,S - Significant
ID_44,Food Take Out,3,C - Crucial
ID_44,Restaurant,5,S - Significant
ID_44,Food Take Out,4,S - Significant
ID_44,Restaurant,1,M - Minor
ID_44,Restaurant,5,S - Significant
ID_45,Food Take Out,1,M - Minor
ID_45,Restaurant,5,S - Significant
ID_45,Restaurant,3,C - Crucial
ID_45,Food Take Out,5,C - Crucial
ID_45,Food Take Out,3,C - Crucial
ID_46,Food Take Out,4,S - Significant
ID_46,Food Take Out,4,C - Crucial
ID_46,Restaurant,4,M - Minor
ID_46,Restaurant,1,M - Minor
ID_46,Food Take Out,4,M - Minor
ID_47,Restaurant,1,M - Minor
ID_47,Restaurant,1,C - Crucial
ID_47,Restaurant,1,C - Crucial
ID_47,Restaurant,4,C - Crucial
ID_47,Food Take Out,3,C - Crucial
ID_48,Food Take Out,4,M - Minor
ID_48,Food Take Out,4,S - Significant
ID_48,Restaurant,2,S - Significant
ID_48,Food Take Out,3,C - Crucial
ID_48,Restaurant,2,C - Crucial
ID_49,Food Take Out,4,M - Minor
ID_49,Restaurant,1,C - Crucial
ID_49,Restaurant,2,C - Crucial
ID_49,Food Take Out,4,C - Crucial
ID_49,Food Take Out,5,C - Crucial
ID_50,Food Take Out,3,C - Crucial
ID_50,Restaurant,2,S - Significant
ID_50,Food Take Out,2,M - Minor
ID_50,Restaurant,5,C - Crucial
ID_50,Food Take Out,3,C - Crucial
ID_51,Restaurant,4,C - Crucial
ID_51,Food Take Out,3,S - Significant
ID_51,Restaurant,3,C - Crucial
ID_51,Food Take Out,4,M - Minor
ID_51,Restaurant,4,S - Significant
ID_52,Restaurant,2,S - Significant
ID_52,Restaurant,1,M - Minor
ID_52,Food Take Out,2,C - Crucial
ID_52,Food Take Out,5,C - Crucial
ID_52,Restaurant,2,M - Minor
ID_53,Restaurant,5,C - Crucial
ID_53,Food Take Out,3,M - Minor
ID_53,Restaurant,4,S - Significant
ID_53,Restaurant,1,C - Crucial
ID_53,Food Take Out,5,M - Minor
ID_54,Restaurant,3,S - Significant
ID_54,Food Take Out,5,M - Minor
ID_54,Food Take Out,4,M - Minor
ID_54,Food Take Out,3,S - Significant
ID_54,Food Take Out,5,S - Significant
ID_55,Restaurant,1,M - Minor
ID_55,Restaurant,2,S - Significant
ID_55,Restaurant,4,M - Minor
ID_55,Food Take Out,1,S - Significant
ID_55,Food Take Out,3,C - Crucial
ID_56,Restaurant,5,M - Minor
ID_56,Restaurant,2,S - Significant
ID_56,Food Take Out,5,C - Crucial
ID_56,Restaurant,1,S - Significant
ID_56,Food Take Out,1,S - Significant
ID_57,Restaurant,2,S - Significant
ID_57,Restaurant,1,S - Significant
ID_57,Food Take Out,5,S - Significant
ID_57,Food Take Out,5,M - Minor
ID_57,Restaurant,4,M - Minor
ID_58,Food Take Out,2,C - Crucial
ID_58,Restaurant,5,C - Crucial
ID_58,Food Take Out,1,C - Crucial
ID_58,Food Take Out,1,C - Crucial
ID_58,Restaurant,1,M - Minor
ID_59,Food Take Out,1,S - Significant
ID_59,Food Take Out,2,M - Minor
ID_59,Restaurant,4,C - Crucial
ID_59,Food Take Out,4,S - Significant
ID_59,Restaurant,5,M - Minor
ID_60,Restaurant,1,M - Minor
ID_60,Restaurant,1,S - Significant
ID_60,Food Take Out,1,S - Significant
ID_60,Restaurant,5,C - Crucial
ID_60,Restaurant,3,C - Crucial
ID_61,Food Take Out,3,C - Crucial
ID_61,Food Take Out,5,C - Crucial
ID_61,Restaurant,5,S - Significant
ID_61,Food Take Out,2,M - Minor
ID_61,Food Take Out,5,S - Significant
ID_62,Restaurant,2,S - Significant
ID_62,Food Take Out,3,C - Crucial
ID_62,Restaurant,2,S - Significant
ID_62,Food Take Out,3,M - Minor
ID_62,Restaurant,5,C - Crucial
ID_63,Restaurant,3,M - Minor
ID_63,Restaurant,1,S - Significant
ID_63,Restaurant,5,C - Crucial
ID_63,Restaurant,4,M - Minor
ID_63,Restaurant,4,M - Minor
ID_64,Restaurant,4,S - Significant
ID_64,Food Take Out,1,C - Crucial
ID_64,Food Take Out,1,M - Minor
ID_64,Food Take Out,4,M - Minor
ID_64,Food Take Out,3,M - Minor
ID_65,Restaurant,1,S - Significant
ID_65,Food Take Out,4,S - Significant
ID_65,Restaurant,2,S - Significant
ID_65,Restaurant,3,S - Significant
ID_65,Restaurant,1,M - Minor
ID_66,Food Take Out,1,C - Crucial
ID_66,Food Take Out,1,M - Minor
ID_66,Food Take Out,1,C - Crucial
ID_66,Restaurant,4,S - Significant
ID_66,Restaurant,2,S - Significant
ID_67,Food Take Out,1,M - Minor
ID_67,Restaurant,2,M - Minor
ID_67,Food Take Out,1,M - Minor
ID_67,Restaurant,5,C - Crucial
ID_67,Food Take Out,2,M - Minor
ID_68,Food Take Out,5,C - Crucial
ID_68,Restaurant,4,C - Crucial
ID_68,Restaurant,3,S - Significant
ID_68,Restaurant,5,S - Significant
ID_68,Food Take Out,1,C - Crucial
ID_69,Restaurant,2,S - Significant
ID_69,Restaurant,2,S - Significant
ID_69,Restaurant,1,S - Significant
ID_69,Food Take Out,2,M - Minor
ID_69,Restaurant,1,C - Crucial
ID_70,Restaurant,4,S - Significant
ID_70,Food Take Out,5,M - Minor
ID_70,Restaurant,3,S - Significant
ID_70,Food Take Out,4,S - Significant
ID_70,Restaurant,5,C - Crucial
ID_71,Food Take Out,2,C - Crucial
ID_71,Food Take Out,2,C - Crucial
ID_71,Restaurant,1,S - Significant
ID_71,Restaurant,3,S - Significant
ID_71,Restaurant,2,S - Significant
ID_72,Restaurant,2,S - Significant
ID_72,Restaurant,3,M - Minor
ID_72,Food Take Out,2,C - Crucial
ID_72,Food Take Out,5,C - Crucial
ID_72,Food Take Out,2,M - Minor
ID_73,Food Take Out,5,C - Crucial
ID_73,Food Take Out,4,M - Minor
ID_73,Restaurant,4,S - Significant
ID_73,Food Take Out,2,S - Significant
ID_73,Food Take Out,1,C - Crucial
ID_74,Restaurant,2,S - Significant
ID_74,Food Take Out,1,C - Crucial
ID_74,Restaurant,5,S - Significant
ID_74,Food Take Out,5,M - Minor
ID_74,Restaurant,1,S - Significant
ID_75,Food Take Out,3,S - Significant
ID_75,Restaurant,5,C - Crucial
ID_75,Restaurant,4,C - Crucial
ID_75,Food Take Out,5,M - Minor
ID_75,Restaurant,4,C - Crucial
ID_76,Restaurant,5,M - Minor
ID_76,Food Take Out,2,C - Crucial
ID_76,Food Take Out,4,C - Crucial
ID_76,Restaurant,1,C - Crucial
ID_76,Food Take Out,5,S - Significant
ID_77,Food Take Out,5,S - Significant
ID_77,Restaurant,3,M - Minor
ID_77,Food Take Out,5,S - Significant
ID_77,Restaurant,1,S - Significant
ID_77,Food Take Out,3,S - Significant
ID_78,Food Take Out,1,C - Crucial
ID_78,Food Take Out,4,S - Significant
ID_78,Food Take Out,5,M - Minor
ID_78,Food Take Out,4,M - Minor
ID_78,Food Take Out,2,M - Minor
ID_79,Food Take Out,5,C - Crucial
ID_79,Restaurant,3,C - Crucial
ID_79,Restaurant,5,M - Minor
ID_79,Restaurant,4,M - Minor
ID_79,Restaurant,5,M - Minor
ID_80,Food Take Out,2,C - Crucial
ID_80,Restaurant,3,C - Crucial
ID_80,Food Take Out,1,M - Minor
ID_80,Restaurant,2,M - Minor
ID_80,Food Take Out,4,S - Significant
ID_81,Restaurant,3,C - Crucial
ID_81,Food Take Out,4,S - Significant
ID_81,Food Take Out,1,S - Significant
ID_81,Restaurant,1,M - Minor
ID_81,Food Take Out,2,S - Significant
ID_82,Restaurant,1,C - Crucial
ID_82,Restaurant,5,C - Crucial
ID_82,Food Take Out,1,M - Minor
ID_82,Restaurant,2,S - Significant
ID_82,Food Take Out,1,M - Minor
ID_83,Restaurant,3,S - Significant
ID_83,Food Take Out,3,C - Crucial
ID_83,Food Take Out,5,S - Significant
ID_83,Food Take Out,5,C - Crucial
ID_83,Food Take Out,3,C - Crucial
ID_84,Food Take Out,3,C - Crucial
ID_84,Food Take Out,1,C - Crucial
ID_84,Restaurant,1,M - Minor
ID_84,Restaurant,1,S - Significant
ID_84,Food Take Out,1,S - Significant
ID_85,Restaurant,4,C - Crucial
ID_85,Restaurant,4,S - Significant
ID_85,Food Take Out,4,M - Minor
ID_85,Restaurant,3,M - Minor
ID_85,Food Take Out,1,C - Crucial
ID_86,Restaurant,1,M - Minor
ID_86,Restaurant,1,S - Significant
ID_86,Food Take Out,4,C - Crucial
ID_86,Restaurant,3,C - Crucial
ID_86,Restaurant,1,C - Crucial
ID_87,Food Take Out,1,S - Significant
ID_87,Restaurant,1,C - Crucial
ID_87,Food Take Out,5,C - Crucial
ID_87,Food Take Out,4,M - Minor
ID_87,Restaurant,2,M - Minor
ID_88,Food Take Out,2,S - Significant
ID_88,Food Take Out,2,M - Minor
ID_88,Food Take Out,2,M - Minor
ID_88,Restaurant,3,C - Crucial
ID_88,Restaurant,1,M - Minor
ID_89,Food Take Out,3,C - Crucial
ID_89,Food Take Out,1,C - Crucial
ID_89,Food Take Out,5,S - Significant
ID_89,Restaurant,3,M - Minor
ID_89,Restaurant,3,C - Crucial
ID_90,Restaurant,5,S - Significant
ID_90,Restaurant,4,M - Minor
ID_90,Food Take Out,3,S - Significant
ID_90,Restaurant,4,C - Crucial
ID_90,Food Take Out,1,C - Crucial
ID_91,Restaurant,5,S - Significant
ID_91,Restaurant,3,C - Crucial
ID_91,Food Take Out,2,M - Minor
ID_91,Food Take Out,2,M - Minor
ID_91,Restaurant,3,C - Crucial
ID_92,Food Take Out,5,M - Minor
ID_92,Restaurant,3,S - Significant
ID_92,Restaurant,2,S - Significant
ID_92,Food Take Out,2,C - Crucial
ID_92,Restaurant,1,M - Minor
ID_93,Food Take Out,1,S - Significant
ID_93,Restaurant,1,M - Minor
ID_93,Food Take Out,2,S - Significant
ID_93,Restaurant,1,C - Crucial
ID_93,Food Take Out,3,C - Crucial
ID_94,Food Take Out,3,S - Significant
ID_94,Food Take Out,4,C - Crucial
ID_94,Food Take Out,4,C - Crucial
ID_94,Restaurant,2,M - Minor
ID_94,Restaurant,1,C - Crucial
ID_95,Food Take Out,1,C - Crucial
ID_95,Restaurant,1,S - Significant
ID_95,Restaurant,5,M - Minor
ID_95,Restaurant,3,M - Minor
ID_95,Restaurant,5,S - Significant
ID_96,Food Take Out,2,C - Crucial
ID_96,Food Take Out,4,S - Significant
ID_96,Food Take Out,5,S - Significant
ID_96,Restaurant,1,S - Significant
ID_96,Restaurant,4,S - Significant
ID_97,Restaurant,4,S - Significant
ID_97,Food Take Out,5,S - Significant
ID_97,Food Take Out,3,S - Significant
ID_97,Food Take Out,2,M - Minor
ID_97,Food Take Out,2,S - Significant
ID_98,Food Take Out,1,S - Significant
ID_98,Food Take Out,5,S - Significant
ID_98,Restaurant,2,S - Significant
ID_98,Food Take Out,2,M - Minor
ID_98,Food Take Out,3,S - Significant
ID_99,Restaurant,2,C - Crucial
ID_99,Food Take Out,1,C - Crucial
ID_99,Food Take Out,4,C - Crucial
ID_99,Restaurant,2,S - Significant
ID_99,Restaurant,1,C - Crucial
ID_100,Food Take Out,1,M - Minor
ID_100,Food Take Out,3,S - Significant
ID_100,Restaurant,2,C - Crucial
ID_100,Restaurant,5,S - Significant
ID_100,Restaurant,1,S - Significant
ID_101,Food Take Out,5,S - Significant
ID_101,Food Take Out,5,M - Minor
ID_101,Restaurant,5,C - Crucial
ID_101,Food Take Out,5,C - Crucial
ID_101,Restaurant,1,S - Significant
ID_102,Restaurant,3,C - Crucial
ID_102,Restaurant,2,S - Significant
ID_102,Food Take Out,1,M - Minor
ID_102,Restaurant,1,C - Crucial
ID_102,Restaurant,5,S - Significant
ID_103,Restaurant,4,S - Significant
ID_103,Food Take Out,2,S - Significant
ID_103,Restaurant,4,S - Significant
ID_103,Food Take Out,2,C - Crucial
ID_103,Food Take Out,5,C - Crucial
ID_104,Restaurant,2,S - Significant
ID_104,Restaurant,4,M - Minor
ID_104,Food Take Out,4,C - Crucial
ID_104,Food Take Out,4,C - Crucial
ID_104,Food Take Out,5,S - Significant
ID_105,Food Take Out,4,M - Minor
ID_105,Food Take Out,5,C - Crucial
ID_105,Food Take Out,1,C - Crucial
ID_105,Restaurant,3,C - Crucial
ID_105,Restaurant,4,M - Minor
ID_106,Restaurant,2,M - Minor
ID_106,Restaurant,2,M - Minor
ID_106,Restaurant,3,C - Crucial
ID_106,Food Take Out,3,C - Crucial
ID_106,Food Take Out,1,S - Significant
ID_107,Food Take Out,3,S - Significant
ID_107,Food Take Out,3,C - Crucial
ID_107,Food Take Out,4,S - Significant
ID_107,Food Take Out,2,C - Crucial
ID_107,Food Take Out,4,C - Crucial
ID_108,Restaurant,1,M - Minor
ID_108,Restaurant,3,M - Minor
ID_108,Restaurant,1,C - Crucial
ID_108,Restaurant,3,S - Significant
ID_108,Food Take Out,4,S - Significant
ID_109,Food Take Out,4,S - Significant
ID_109,Restaurant,3,C - Crucial
ID_109,Food Take Out,3,C - Crucial
ID_109,Food Take Out,4,M - Minor
ID_109,Food Take Out,1,C - Crucial
ID_110,Food Take Out,1,S - Significant
ID_110,Food Take Out,1,C - Crucial
ID_110,Restaurant,2,C - Crucial
ID_110,Restaurant,5,M - Minor
ID_110,Restaurant,1,M - Minor
ID_111,Restaurant,2,S - Significant
ID_111,Restaurant,3,C - Crucial
ID_111,Food Take Out,3,C - Crucial
ID_111,Food Take Out,3,C - Crucial
ID_111,Food Take Out,3,M - Minor
ID_112,Food Take Out,2,C - Crucial
ID_112,Food Take Out,3,M - Minor
ID_112,Restaurant,2,S - Significant
ID_112,Food Take Out,1,M - Minor
ID_112,Restaurant,5,C - Crucial
ID_113,Restaurant,2,M - Minor
ID_113,Food Take Out,3,C - Crucial
ID_113,Food Take Out,1,S - Significant
ID_113,Restaurant,1,M - Minor
ID_113,Restaurant,2,M - Minor
ID_114,Restaurant,3,S - Significant
ID_114,Restaurant,2,M - Minor
ID_114,Restaurant,4,C - Crucial
ID_114,Restaurant,2,C - Crucial
ID_114,Food Take Out,4,M - Minor
ID_115,Food Take Out,1,S - Significant
ID_115,Food Take Out,3,M - Minor
ID_115,Food Take Out,5,S - Significant
ID_115,Food Take Out,1,C - Crucial
ID_115,Restaurant,4,C - Crucial
ID_116,Restaurant,3,C - Crucial
ID_116,Food Take Out,5,M - Minor
ID_116,Restaurant,3,S - Significant
ID_116,Restaurant,3,M - Minor
ID_116,Food Take Out,2,C - Crucial
ID_117,Food Take Out,2,S - Significant
ID_117,Food Take Out,4,S - Significant
ID_117,Food Take Out,1,C - Crucial
ID_117,Restaurant,2,M - Minor
ID_117,Restaurant,4,C - Crucial
ID_118,Food Take Out,5,C - Crucial
ID_118,Restaurant,2,S - Significant
ID_118,Restaurant,5,M - Minor
ID_118,Restaurant,1,M - Minor
ID_118,Food Take Out,5,M - Minor
ID_119,Food Take Out,5,C - Crucial
ID_119,Restaurant,4,C - Crucial
ID_119,Food Take Out,4,S - Significant
ID_119,Food Take Out,5,S - Significant
ID_119,Restaurant,4,C - Crucial
ID_120,Food Take Out,4,S - Significant
ID_120,Restaurant,5,M - Minor
ID_120,Food Take Out,5,S - Significant
ID_120,Restaurant,2,S - Significant
ID_120,Restaurant,3,M - Minor
ID_121,Restaurant,5,C - Crucial
ID_121,Food Take Out,4,S - Significant
ID_121,Food Take Out,5,C - Crucial
ID_121,Restaurant,3,C - Crucial
ID_121,Restaurant,2,M - Minor
ID_122,Restaurant,3,C - Crucial
ID_122,Food Take Out,5,M - Minor
ID_122,Restaurant,4,S - Significant
ID_122,Restaurant,1,M - Minor
ID_122,Restaurant,2,S - Significant
ID_123,Food Take Out,3,S - Significant
ID_123,Food Take Out,4,S - Significant
ID_123,Restaurant,1,M - Minor
ID_123,Restaurant,1,M - Minor
ID_123,Food Take Out,1,M - Minor
ID_124,Food Take Out,5,S - Significant
ID_124,Restaurant,3,C - Crucial
ID_124,Food Take Out,3,M - Minor
ID_124,Restaurant,2,M - Minor
ID_124,Food Take Out,4,C - Crucial
ID_125,Restaurant,2,S - Significant
ID_125,Restaurant,3,C - Crucial
ID_125,Restaurant,2,M - Minor
ID_125,Restaurant,3,S - Significant
ID_125,Food Take Out,4,C - Crucial
ID_126,Food Take Out,1,C - Crucial
ID_126,Restaurant,4,C - Crucial
ID_126,Restaurant,4,S - Significant
ID_126,Food Take Out,5,C - Crucial
ID_126,Food Take Out,2,C - Crucial
ID_127,Food Take Out,1,C - Crucial
ID_127,Restaurant,5,M - Minor
ID_127,Restaurant,2,M - Minor
ID_127,Food Take Out,2,M - Minor
ID_127,Restaurant,3,M - Minor
ID_128,Food Take Out,1,S - Significant
ID_128,Restaurant,4,S - Significant
ID_128,Food Take Out,1,C - Crucial
ID_128,Restaurant,5,C - Crucial
ID_128,Restaurant,4,C - Crucial
ID_129,Restaurant,4,S - Significant
ID_129,Restaurant,1,C - Crucial
ID_129,Food Take Out,3,M - Minor
ID_129,Restaurant,3,C - Crucial
ID_129,Food Take Out,3,S - Significant
ID_130,Food Take Out,5,C - Crucial
ID_130,Restaurant,2,S - Significant
ID_130,Food Take Out,2,C - Crucial
ID_130,Food Take Out,3,C - Crucial
ID_130,Restaurant,2,S - Significant
ID_131,Food Take Out,3,S - Significant
ID_131,Restaurant,3,C - Crucial
ID_131,Restaurant,2,M - Minor
ID_131,Restaurant,5,M - Minor
ID_131,Restaurant,4,C - Crucial
ID_132,Restaurant,4,C - Crucial
ID_132,Restaurant,3,M - Minor
ID_132,Food Take Out,4,M - Minor
ID_132,Restaurant,5,C - Crucial
ID_132,Restaurant,4,S - Significant
ID_133,Restaurant,4,S - Significant
ID_133,Restaurant,4,M - Minor
ID_133,Food Take Out,4,S - Significant
ID_133,Food Take Out,2,S - Significant
ID_133,Food Take Out,2,M - Minor
ID_134,Food Take Out,5,S - Significant
ID_134,Restaurant,1,S - Significant
ID_134,Food Take Out,1,S - Significant
ID_134,Food Take Out,5,C - Crucial
ID_134,Food Take Out,3,C - Crucial
ID_135,Food Take Out,3,M - Minor
ID_135,Food Take Out,3,M - Minor
ID_135,Restaurant,3,S - Significant
ID_135,Food Take Out,1,S - Significant
ID_135,Food Take Out,4,S - Significant
ID_136,Food Take Out,4,C - Crucial
ID_136,Food Take Out,2,M - Minor
ID_136,Restaurant,5,C - Crucial
ID_136,Food Take Out,1,C - Crucial
ID_136,Food Take Out,4,M - Minor
ID_137,Food Take Out,4,M - Minor
ID_137,Restaurant,1,M - Minor
ID_137,Restaurant,4,S - Significant
ID_137,Food Take Out,5,C - Crucial
ID_137,Food Take Out,5,C - Crucial
ID_138,Restaurant,3,C - Crucial
ID_138,Food Take Out,5,C - Crucial
ID_138,Restaurant,1,C - Crucial
ID_138,Food Take Out,4,S - Significant
ID_138,Food Take Out,5,C - Crucial
ID_139,Restaurant,2,C - Crucial
ID_139,Restaurant,2,M - Minor
ID_139,Food Take Out,4,M - Minor
ID_139,Restaurant,1,C - Crucial
ID_139,Restaurant,5,S - Significant
ID_140,Food Take Out,5,C - Crucial
ID_140,Restaurant,4,S - Significant
ID_140,Food Take Out,3,M - Minor
ID_140,Food Take Out,2,S - Significant
ID_140,Restaurant,4,C - Crucial
ID_141,Restaurant,5,S - Significant
ID_141,Restaurant,4,M - Minor
ID_141,Restaurant,4,S - Significant
